event_id,case_id,activity,timestamp,duration_minutes,user_id,team,application_used,screen_name,event_type,status
E-000000053,C-0000007,Nurse Review,2025-11-16 05:15:17.876406798,46.29,U-0022,Clinical Review,PolicyRules,nurse_review,Task Completed,Completed
E-000000054,C-0000007,Medical Director Review,2025-11-16 16:40:12.076107413,100.25,U-0035,Medical Directors,PolicyRules,medical_director_review,Task Completed,Completed
E-000000055,C-0000007,Approval,2025-11-16 20:00:14.885207066,32.18,U-0003,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000056,C-0000007,Payment Processing,2025-11-17 00:16:49.141536622,12.75,U-0032,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000057,C-0000007,Case Closed,2025-11-17 00:32:03.670213208,3.08,U-0004,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000058,C-0000008,Claim Received,2025-09-22 09:55:34.834938074,4.85,U-0099,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000059,C-0000008,Eligibility Check,2025-09-22 10:06:15.508019475,8.18,U-0084,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000060,C-0000008,Document Intake,2025-09-22 10:54:26.855889388,8.56,U-0069,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000061,C-0000008,Document Review,2025-09-22 15:10:29.918032953,54.25,U-0007,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000062,C-0000008,Provider Clarification,2025-09-22 18:52:31.382006705,58.23,U-0066,Provider Services,ProviderPortal,provider_clarification,Task Completed,Completed
E-000000063,C-0000008,Document Review,2025-09-22 22:34:03.072855066,64.97,U-0042,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000064,C-0000008,Medical Necessity Review,2025-09-23 04:25:18.810805239,39.69,U-0033,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
E-000000065,C-0000008,Nurse Review,2025-09-23 07:10:58.820559939,99.09,U-0047,Clinical Review,PolicyRules,nurse_review,Task Completed,Completed
E-000000066,C-0000008,Approval,2025-09-23 09:20:01.461683015,10.26,U-0004,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000067,C-0000008,Payment Processing,2025-09-23 11:25:26.702447783,29.75,U-0023,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000068,C-0000008,Case Closed,2025-09-23 12:19:10.797718127,5.4,U-0064,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000069,C-0000009,Claim Received,2025-07-05 05:40:55.940837738,3.19,U-0099,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000070,C-0000009,Eligibility Check,2025-07-05 05:54:46.215553944,10.17,U-0089,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000071,C-0000009,Document Intake,2025-07-05 07:20:00.167773636,7.62,U-0075,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000072,C-0000009,Document Review,2025-07-05 12:17:35.105735940,20.32,U-0053,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000073,C-0000009,Provider Clarification,2025-07-05 20:06:29.687259066,21.65,U-0067,Provider Services,ProviderPortal,provider_clarification,Task Completed,Completed
E-000000074,C-0000009,Document Review,2025-07-05 23:31:41.782366648,59.75,U-0043,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000075,C-0000009,Medical Necessity Review,2025-07-06 07:32:41.102364864,35.12,U-0082,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
E-000000076,C-0000009,Nurse Review,2025-07-06 10:37:57.785915210,30.6,U-0095,Clinical Review,PolicyRules,nurse_review,Task Completed,Completed
E-000000077,C-0000009,Medical Director Review,2025-07-07 11:17:46.777562702,144.57,U-0062,Medical Directors,PolicyRules,medical_director_review,Task Completed,Completed
E-000000078,C-0000009,Approval,2025-07-07 14:03:19.296152275,5.27,U-0087,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000079,C-0000009,Payment Processing,2025-07-07 15:04:54.013552063,13.46,U-0023,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000080,C-0000009,Case Closed,2025-07-07 15:37:10.982958603,4.02,U-0061,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000081,C-0000010,Claim Received,2025-08-08 11:53:50.633576324,2.03,U-0069,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000082,C-0000010,Eligibility Check,2025-08-08 12:00:08.417143095,11.27,U-0051,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000083,C-0000010,Document Intake,2025-08-08 12:26:02.112019327,4.06,U-0028,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000084,C-0000010,Document Review,2025-08-08 17:19:11.455610301,48.4,U-0021,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000085,C-0000010,Medical Necessity Review,2025-08-10 09:57:06.715799186,101.28,U-0010,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
E-000000086,C-0000010,Approval,2025-08-10 13:18:40.999769373,9.98,U-0019,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000087,C-0000010,Payment Processing,2025-08-11 06:56:25.033908150,10.38,U-0024,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000088,C-0000010,Case Closed,2025-08-11 07:42:02.163608481,3.94,U-0040,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000089,C-0000011,Claim Received,2025-12-27 04:47:01.455123493,3.15,U-0018,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000090,C-0000011,Eligibility Check,2025-12-27 04:52:40.327284112,14.28,U-0074,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000091,C-0000011,Document Intake,2025-12-27 05:16:59.303408002,9.56,U-0028,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000092,C-0000011,Document Review,2025-12-27 10:35:25.435996048,70.12,U-0007,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000093,C-0000011,Medical Necessity Review,2025-12-27 12:42:31.395128865,92.0,U-0097,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
E-000000094,C-0000011,Nurse Review,2025-12-27 20:56:22.073056454,63.95,U-0097,Clinical Review,PolicyRules,nurse_review,Task Completed,Completed
E-000000095,C-0000011,Medical Director Review,2025-12-29 05:21:39.969427984,302.53,U-0090,Medical Directors,PolicyRules,medical_director_review,Task Completed,Completed
E-000000096,C-0000011,Approval,2025-12-29 11:09:49.016078182,11.98,U-0014,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000097,C-0000011,Payment Processing,2025-12-29 12:21:58.788152052,24.69,U-0023,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000098,C-0000011,Case Closed,2025-12-29 12:53:45.832755253,3.67,U-0004,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000099,C-0000012,Claim Received,2025-12-28 19:26:22.931581320,3.25,U-0099,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000100,C-0000012,Eligibility Check,2025-12-28 20:13:34.637432386,8.08,U-0029,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000101,C-0000012,Document Intake,2025-12-28 21:29:17.139121803,8.25,U-0069,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000102,C-0000012,Document Review,2025-12-29 07:30:48.964461930,101.92,U-0045,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000103,C-0000012,Medical Necessity Review,2025-12-30 01:44:50.019102388,115.15,U-0022,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
E-000000104,C-0000012,Nurse Review,2025-12-30 09:06:18.912437041,51.27,U-0070,Clinical Review,PolicyRules,nurse_review,Task Completed,Completed
E-000000105,C-0000012,Medical Director Review,2025-12-30 18:09:24.318122061,154.5,U-0035,Medical Directors,PolicyRules,medical_director_review,Task Completed,Completed
E-000000106,C-0000012,Approval,2025-12-30 22:52:06.495769454,19.19,U-0061,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000107,C-0000012,Payment Processing,2025-12-31 01:05:52.917335019,10.79,U-0100,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000108,C-0000012,Case Closed,2025-12-31 01:34:51.480315265,5.69,U-0025,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000109,C-0000013,Claim Received,2025-09-08 00:39:42.929846150,4.11,U-0060,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000110,C-0000013,Eligibility Check,2025-09-08 00:59:17.693989783,8.97,U-0084,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000111,C-0000013,Document Intake,2025-09-08 01:40:58.886321260,7.96,U-0098,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000112,C-0000013,Document Review,2025-09-08 18:35:08.216432087,41.82,U-0030,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000113,C-0000013,Medical Necessity Review,2025-09-09 11:59:27.813959968,90.35,U-0041,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
E-000000114,C-0000013,Nurse Review,2025-09-09 22:56:09.854836945,40.25,U-0044,Clinical Review,PolicyRules,nurse_review,Task Completed,Completed
E-000000115,C-0000013,Medical Director Review,2025-09-10 04:27:24.129666336,72.02,U-0062,Medical Directors,PolicyRules,medical_director_review,Task Completed,Completed
E-000000116,C-0000013,Denial,2025-09-10 07:49:20.451979639,9.56,U-0040,Claims Adjudication,ClaimsCore,denial,Task Completed,Completed
E-000000117,C-0000013,Case Closed,2025-09-10 08:15:45.128225972,2.2,U-0054,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000118,C-0000014,Claim Received,2025-11-25 07:34:16.364237594,3.84,U-0098,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000119,C-0000014,Eligibility Check,2025-11-25 07:44:46.700274794,14.07,U-0026,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000120,C-0000014,Document Intake,2025-11-25 08:26:34.580630917,8.86,U-0085,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000121,C-0000014,Document Review,2025-11-25 11:33:31.283579976,29.07,U-0049,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000122,C-0000014,Approval,2025-11-25 12:29:05.450971369,15.28,U-0019,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000123,C-0000014,Payment Processing,2025-11-25 15:21:30.098077006,12.39,U-0023,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000124,C-0000014,Case Closed,2025-11-25 15:51:13.202094199,5.9,U-0061,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000125,C-0000015,Claim Received,2025-11-09 15:16:48.701814123,1.94,U-0052,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000126,C-0000015,Eligibility Check,2025-11-09 15:37:10.272099105,16.6,U-0059,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000127,C-0000015,Document Intake,2025-11-09 16:28:25.054339648,2.91,U-0099,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000128,C-0000015,Document Review,2025-11-10 00:12:54.388438100,37.17,U-0061,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000129,C-0000015,Medical Necessity Review,2025-11-10 12:56:02.432647692,35.05,U-0002,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
E-000000130,C-0000015,Nurse Review,2025-11-11 01:54:18.199640892,62.63,U-0097,Clinical Review,PolicyRules,nurse_review,Task Completed,Completed
E-000000131,C-0000015,Medical Director Review,2025-11-12 10:46:34.572956371,85.37,U-0027,Medical Directors,PolicyRules,medical_director_review,Task Completed,Completed
E-000000132,C-0000015,Denial,2025-11-12 17:21:46.685978889,13.15,U-0008,Claims Adjudication,ClaimsCore,denial,Task Completed,Completed
E-000000133,C-0000015,Case Closed,2025-11-12 17:51:31.940447952,5.69,U-0030,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000134,C-0000016,Claim Received,2025-12-18 10:10:13.856383907,2.95,U-0005,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000135,C-0000016,Eligibility Check,2025-12-18 10:26:27.857063290,7.94,U-0029,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000136,C-0000016,Document Intake,2025-12-18 11:06:42.127049758,7.83,U-0086,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000137,C-0000016,Document Review,2025-12-18 12:27:26.382901646,32.03,U-0087,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000138,C-0000016,Approval,2025-12-18 14:28:21.953107010,8.69,U-0025,Claims Adjudication,ClaimsCore,approval,Task Completed,Pending
E-000000139,C-0000017,Claim Received,2025-12-10 10:15:25.449485380,2.28,U-0052,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000140,C-0000017,Eligibility Check,2025-12-10 11:07:09.248607501,11.5,U-0091,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000141,C-0000017,Document Intake,2025-12-10 11:38:03.431938729,10.21,U-0052,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000142,C-0000017,Document Review,2025-12-10 17:57:52.064482402,17.92,U-0064,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000143,C-0000017,Approval,2025-12-10 18:30:47.343464195,11.37,U-0046,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000144,C-0000017,Payment Processing,2025-12-10 23:26:40.080516466,11.64,U-0024,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000145,C-0000017,Case Closed,2025-12-10 23:57:29.951984092,5.87,U-0092,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000146,C-0000018,Claim Received,2025-10-24 01:30:28.295672184,4.46,U-0069,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000147,C-0000018,Eligibility Check,2025-10-24 02:13:31.251781196,8.71,U-0016,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000148,C-0000018,Document Intake,2025-10-24 02:51:07.824290552,8.53,U-0028,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000149,C-0000018,Document Review,2025-10-24 03:35:28.162967109,132.2,U-0021,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000150,C-0000018,Approval,2025-10-24 07:23:18.908661555,16.84,U-0003,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000151,C-0000018,Payment Processing,2025-10-24 13:38:24.845710845,24.01,U-0012,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000152,C-0000018,Case Closed,2025-10-24 14:33:19.712116490,9.52,U-0080,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000153,C-0000019,Claim Received,2025-09-11 05:15:10.132890040,5.33,U-0099,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000154,C-0000019,Eligibility Check,2025-09-11 05:21:11.270889259,12.2,U-0074,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000155,C-0000019,Document Intake,2025-09-11 06:06:50.204326789,4.7,U-0069,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000156,C-0000019,Document Review,2025-09-11 07:36:15.760826150,40.81,U-0053,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000157,C-0000019,Medical Necessity Review,2025-09-11 16:55:27.791857160,127.95,U-0033,Clinical Review,PolicyRules,medical_necessity_review,Task Completed,Completed
E-000000158,C-0000019,Nurse Review,2025-09-12 01:15:33.456064229,30.69,U-0057,Clinical Review,PolicyRules,nurse_review,Task Completed,Completed
E-000000159,C-0000019,Medical Director Review,2025-09-12 16:59:57.783924255,207.86,U-0038,Medical Directors,PolicyRules,medical_director_review,Task Completed,Completed
E-000000160,C-0000019,Denial,2025-09-12 21:11:18.213970080,18.0,U-0031,Claims Adjudication,ClaimsCore,denial,Task Completed,Completed
E-000000161,C-0000019,Case Closed,2025-09-12 21:46:28.497505023,5.2,U-0054,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000162,C-0000020,Claim Received,2025-10-23 16:18:30.658103709,4.23,U-0052,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000163,C-0000020,Eligibility Check,2025-10-23 16:30:47.318081998,5.7,U-0059,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000164,C-0000020,Document Intake,2025-10-23 17:38:29.284468634,6.49,U-0069,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000165,C-0000020,Document Review,2025-10-23 20:34:05.944967608,48.0,U-0081,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000166,C-0000020,Approval,2025-10-23 21:37:38.015787431,7.44,U-0003,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000167,C-0000020,Payment Processing,2025-10-23 22:46:35.548497119,16.44,U-0023,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000168,C-0000020,Case Closed,2025-10-23 23:05:20.924135033,12.82,U-0073,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000169,C-0000021,Claim Received,2025-08-28 09:42:14.223638381,3.1,U-0005,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000170,C-0000021,Eligibility Check,2025-08-28 09:46:50.707614477,8.08,U-0089,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000171,C-0000021,Document Intake,2025-08-28 10:13:56.749181553,7.93,U-0085,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000172,C-0000021,Document Review,2025-08-28 17:04:30.517040633,35.73,U-0083,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000173,C-0000021,Approval,2025-08-28 18:00:28.914665334,20.13,U-0003,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000174,C-0000021,Payment Processing,2025-08-28 23:34:12.152221462,23.57,U-0100,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000175,C-0000021,Case Closed,2025-08-29 00:20:50.352603634,4.25,U-0042,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000176,C-0000022,Claim Received,2025-09-02 16:50:02.799982794,3.42,U-0085,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000177,C-0000022,Eligibility Check,2025-09-02 17:52:26.994320460,8.7,U-0071,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000178,C-0000022,Document Intake,2025-09-02 18:19:12.449583057,10.69,U-0052,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000179,C-0000022,Document Review,2025-09-02 20:29:45.284125517,49.21,U-0043,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000180,C-0000022,Approval,2025-09-02 21:53:56.056901816,10.69,U-0056,Claims Adjudication,ClaimsCore,approval,Task Completed,Completed
E-000000181,C-0000022,Payment Processing,2025-09-03 03:46:41.747529227,23.32,U-0023,Payment Operations,PaymentHub,payment_processing,Task Completed,Completed
E-000000182,C-0000022,Case Closed,2025-09-03 04:26:51.274590493,3.51,U-0054,Claims Adjudication,ClaimsCore,case_closed,Case Completed,Closed
E-000000183,C-0000023,Claim Received,2025-10-20 09:36:53.644561216,5.07,U-0086,Intake Operations,ClaimsCore,claim_received,Case Created,Completed
E-000000184,C-0000023,Eligibility Check,2025-10-20 10:00:32.868539828,8.96,U-0029,Eligibility Operations,Member360,eligibility_check,Task Completed,Completed
E-000000185,C-0000023,Document Intake,2025-10-20 12:43:11.749202035,5.06,U-0085,Intake Operations,DocuScan,document_intake,Task Completed,Completed
E-000000186,C-0000023,Document Review,2025-10-20 17:34:59.184558464,26.18,U-0083,Claims Adjudication,DocuScan,document_review,Task Completed,Completed
E-000000187,C-0000023,Provider Clarification,2025-10-21 15:05:45.847123306,62.47,U-0066,Provider Services,ProviderPortal,provider_clarification,Task Completed,Completed
